id,comuna,barrio,tipo_negocio,categoria,cantidad_actual,fecha_recoleccion
160,5,Castilla,supermercados,retail,19,2026-03
161,5,Castilla,charcuterias,alimentos,82,2026-03
162,5,Castilla,licoreras,retail,25,2026-03
163,5,Castilla,veterinarias,servicios,97,2026-03
164,5,Castilla,peluquerias,servicios,74,2026-03
165,5,Castilla,droguerias,servicios,31,2026-03
166,5,Castilla,cacharrerias,retail,114,2026-03
167,5,Castilla,panaderias,alimentos,19,2026-03
168,5,Castilla,ferreterias,retail,25,2026-03
169,5,Toscana,cafeterias,alimentos,32,2026-03
170,5,Toscana,restaurantes,alimentos,78,2026-03
171,5,Toscana,tiendas,retail,61,2026-03
172,5,Toscana,supermercados,retail,33,2026-03
173,5,Toscana,charcuterias,alimentos,117,2026-03
174,5,Toscana,licoreras,retail,24,2026-03
175,5,Toscana,veterinarias,servicios,14,2026-03
176,5,Toscana,peluquerias,servicios,112,2026-03
177,5,Toscana,droguerias,servicios,12,2026-03
178,5,Toscana,cacharrerias,retail,59,2026-03
179,5,Toscana,panaderias,alimentos,99,2026-03
180,5,Toscana,ferreterias,retail,36,2026-03
181,5,Boyaca,cafeterias,alimentos,29,2026-03
182,5,Boyaca,restaurantes,alimentos,79,2026-03
183,5,Boyaca,tiendas,retail,77,2026-03
184,5,Boyaca,supermercados,retail,89,2026-03
185,5,Boyaca,charcuterias,alimentos,75,2026-03
186,5,Boyaca,licoreras,retail,21,2026-03
187,5,Boyaca,veterinarias,servicios,23,2026-03
188,5,Boyaca,peluquerias,servicios,50,2026-03
189,5,Boyaca,droguerias,servicios,87,2026-03
190,5,Boyaca,cacharrerias,retail,70,2026-03
191,5,Boyaca,panaderias,alimentos,45,2026-03
192,5,Boyaca,ferreterias,retail,23,2026-03
193,6,Doce de Octubre,cafeterias,alimentos,16,2026-03
194,6,Doce de Octubre,restaurantes,alimentos,31,2026-03
195,6,Doce de Octubre,tiendas,retail,84,2026-03
196,6,Doce de Octubre,supermercados,retail,107,2026-03
197,6,Doce de Octubre,charcuterias,alimentos,111,2026-03
198,6,Doce de Octubre,licoreras,retail,22,2026-03
199,6,Doce de Octubre,veterinarias,servicios,60,2026-03
200,6,Doce de Octubre,peluquerias,servicios,33,2026-03
201,6,Doce de Octubre,droguerias,servicios,43,2026-03
202,6,Doce de Octubre,cacharrerias,retail,30,2026-03
203,6,Doce de Octubre,panaderias,alimentos,14,2026-03
204,6,Doce de Octubre,ferreterias,retail,59,2026-03
205,6,Pedregal,cafeterias,alimentos,15,2026-03
206,6,Pedregal,restaurantes,alimentos,15,2026-03
207,6,Pedregal,tiendas,retail,15,2026-03
208,6,Pedregal,supermercados,retail,40,2026-03
209,6,Pedregal,charcuterias,alimentos,92,2026-03
210,6,Pedregal,licoreras,retail,49,2026-03
211,6,Pedregal,veterinarias,servicios,118,2026-03
212,6,Pedregal,peluquerias,servicios,49,2026-03
213,6,Pedregal,droguerias,servicios,88,2026-03
214,6,Pedregal,cacharrerias,retail,61,2026-03
215,6,Pedregal,panaderias,alimentos,15,2026-03
216,6,Pedregal,ferreterias,retail,113,2026-03
217,6,Santander,cafeterias,alimentos,58,2026-03
218,6,Santander,restaurantes,alimentos,96,2026-03
219,6,Santander,tiendas,retail,66,2026-03
220,6,Santander,supermercados,retail,119,2026-03
221,6,Santander,charcuterias,alimentos,56,2026-03
222,6,Santander,licoreras,retail,87,2026-03
223,6,Santander,veterinarias,servicios,97,2026-03
224,6,Santander,peluquerias,servicios,104,2026-03
225,6,Santander,droguerias,servicios,67,2026-03
226,6,Santander,cacharrerias,retail,101,2026-03
227,6,Santander,panaderias,alimentos,60,2026-03
228,6,Santander,ferreterias,retail,103,2026-03
229,7,Robledo,cafeterias,alimentos,52,2026-03
230,7,Robledo,restaurantes,alimentos,98,2026-03
231,7,Robledo,tiendas,retail,113,2026-03
232,7,Robledo,supermercados,retail,45,2026-03
233,7,Robledo,charcuterias,alimentos,10,2026-03
234,7,Robledo,licoreras,retail,96,2026-03
235,7,Robledo,veterinarias,servicios,100,2026-03
236,7,Robledo,peluquerias,servicios,117,2026-03
237,7,Robledo,droguerias,servicios,40,2026-03
238,7,Robledo,cacharrerias,retail,114,2026-03
239,7,Robledo,panaderias,alimentos,31,2026-03
240,7,Robledo,ferreterias,retail,9,2026-03
241,7,Villa Flora,cafeterias,alimentos,91,2026-03
242,7,Villa Flora,restaurantes,alimentos,94,2026-03
243,7,Villa Flora,tiendas,retail,45,2026-03
244,7,Villa Flora,supermercados,retail,22,2026-03
245,7,Villa Flora,charcuterias,alimentos,112,2026-03
246,7,Villa Flora,licoreras,retail,61,2026-03
247,7,Villa Flora,veterinarias,servicios,17,2026-03
248,7,Villa Flora,peluquerias,servicios,51,2026-03
249,7,Villa Flora,droguerias,servicios,31,2026-03
250,7,Villa Flora,cacharrerias,retail,116,2026-03
251,7,Villa Flora,panaderias,alimentos,67,2026-03
252,7,Villa Flora,ferreterias,retail,82,2026-03
253,7,Altamira,cafeterias,alimentos,62,2026-03
254,7,Altamira,restaurantes,alimentos,38,2026-03
255,7,Altamira,tiendas,retail,41,2026-03
256,7,Altamira,supermercados,retail,14,2026-03
257,7,Altamira,charcuterias,alimentos,38,2026-03
258,7,Altamira,licoreras,retail,79,2026-03
259,7,Altamira,veterinarias,servicios,107,2026-03
260,7,Altamira,peluquerias,servicios,41,2026-03
261,7,Altamira,droguerias,servicios,51,2026-03
262,7,Altamira,cacharrerias,retail,44,2026-03
263,7,Altamira,panaderias,alimentos,95,2026-03
264,7,Altamira,ferreterias,retail,33,2026-03
265,8,Villa Hermosa,cafeterias,alimentos,104,2026-03
266,8,Villa Hermosa,restaurantes,alimentos,71,2026-03
267,8,Villa Hermosa,tiendas,retail,76,2026-03
268,8,Villa Hermosa,supermercados,retail,45,2026-03
269,8,Villa Hermosa,charcuterias,alimentos,89,2026-03
270,8,Villa Hermosa,licoreras,retail,114,2026-03
271,8,Villa Hermosa,veterinarias,servicios,40,2026-03
272,8,Villa Hermosa,peluquerias,servicios,60,2026-03
273,8,Villa Hermosa,droguerias,servicios,92,2026-03
274,8,Villa Hermosa,cacharrerias,retail,79,2026-03
275,8,Villa Hermosa,panaderias,alimentos,57,2026-03
276,8,Villa Hermosa,ferreterias,retail,9,2026-03
277,8,La Mansión,cafeterias,alimentos,91,2026-03
278,8,La Mansión,restaurantes,alimentos,107,2026-03
279,8,La Mansión,tiendas,retail,66,2026-03
280,8,La Mansión,supermercados,retail,104,2026-03
281,8,La Mansión,charcuterias,alimentos,110,2026-03
282,8,La Mansión,licoreras,retail,80,2026-03
283,8,La Mansión,veterinarias,servicios,110,2026-03
284,8,La Mansión,peluquerias,servicios,68,2026-03
285,8,La Mansión,droguerias,servicios,54,2026-03
286,8,La Mansión,cacharrerias,retail,103,2026-03
287,8,La Mansión,panaderias,alimentos,14,2026-03
288,8,La Mansión,ferreterias,retail,52,2026-03
289,8,San Miguel,cafeterias,alimentos,48,2026-03
290,8,San Miguel,restaurantes,alimentos,83,2026-03
291,8,San Miguel,tiendas,retail,48,2026-03
292,8,San Miguel,supermercados,retail,69,2026-03
293,8,San Miguel,charcuterias,alimentos,63,2026-03
294,8,San Miguel,licoreras,retail,84,2026-03
295,8,San Miguel,veterinarias,servicios,70,2026-03
296,8,San Miguel,peluquerias,servicios,66,2026-03
297,8,San Miguel,droguerias,servicios,72,2026-03
298,8,San Miguel,cacharrerias,retail,112,2026-03
299,8,San Miguel,panaderias,alimentos,39,2026-03
300,8,San Miguel,ferreterias,retail,15,2026-03
301,9,Buenos Aires,cafeterias,alimentos,66,2026-03
302,9,Buenos Aires,restaurantes,alimentos,38,2026-03
303,9,Buenos Aires,tiendas,retail,74,2026-03
304,9,Buenos Aires,supermercados,retail,107,2026-03
305,9,Buenos Aires,charcuterias,alimentos,83,2026-03
306,9,Buenos Aires,licoreras,retail,5,2026-03
307,9,Buenos Aires,veterinarias,servicios,37,2026-03
308,9,Buenos Aires,peluquerias,servicios,96,2026-03
309,9,Buenos Aires,droguerias,servicios,5,2026-03
310,9,Buenos Aires,cacharrerias,retail,23,2026-03
311,9,Buenos Aires,panaderias,alimentos,48,2026-03
312,9,Buenos Aires,ferreterias,retail,86,2026-03
313,9,Miraflores,cafeterias,alimentos,66,2026-03
314,9,Miraflores,restaurantes,alimentos,78,2026-03
315,9,Miraflores,tiendas,retail,10,2026-03
316,9,Miraflores,supermercados,retail,24,2026-03
317,9,Miraflores,charcuterias,alimentos,27,2026-03
318,9,Miraflores,licoreras,retail,24,2026-03
319,9,Miraflores,veterinarias,servicios,108,2026-03
320,9,Miraflores,peluquerias,servicios,86,2026-03
321,9,Miraflores,droguerias,servicios,30,2026-03
322,9,Miraflores,cacharrerias,retail,29,2026-03
323,9,Miraflores,panaderias,alimentos,110,2026-03
324,9,Miraflores,ferreterias,retail,69,2026-03
325,9,Cataluña,cafeterias,alimentos,17,2026-03
326,9,Cataluña,restaurantes,alimentos,50,2026-03
327,9,Cataluña,tiendas,retail,29,2026-03
328,9,Cataluña,supermercados,retail,35,2026-03
329,9,Cataluña,charcuterias,alimentos,17,2026-03
330,9,Cataluña,licoreras,retail,75,2026-03
331,9,Cataluña,veterinarias,servicios,93,2026-03
332,9,Cataluña,peluquerias,servicios,92,2026-03
333,9,Cataluña,droguerias,servicios,119,2026-03
334,9,Cataluña,cacharrerias,retail,119,2026-03
335,9,Cataluña,panaderias,alimentos,106,2026-03
336,9,Cataluña,ferreterias,retail,118,2026-03
337,10,La Candelaria,cafeterias,alimentos,64,2026-03
338,10,La Candelaria,restaurantes,alimentos,45,2026-03
339,10,La Candelaria,tiendas,retail,11,2026-03
340,10,La Candelaria,supermercados,retail,115,2026-03
341,10,La Candelaria,charcuterias,alimentos,17,2026-03
342,10,La Candelaria,licoreras,retail,115,2026-03
343,10,La Candelaria,veterinarias,servicios,117,2026-03
344,10,La Candelaria,peluquerias,servicios,26,2026-03
345,10,La Candelaria,droguerias,servicios,46,2026-03
346,10,La Candelaria,cacharrerias,retail,57,2026-03
347,10,La Candelaria,panaderias,alimentos,15,2026-03
348,10,La Candelaria,ferreterias,retail,85,2026-03
349,10,Boston,cafeterias,alimentos,84,2026-03
350,10,Boston,restaurantes,alimentos,41,2026-03
351,10,Boston,tiendas,retail,96,2026-03
352,10,Boston,supermercados,retail,62,2026-03
353,10,Boston,charcuterias,alimentos,93,2026-03
354,10,Boston,licoreras,retail,108,2026-03
355,10,Boston,veterinarias,servicios,38,2026-03
356,10,Boston,peluquerias,servicios,83,2026-03
357,10,Boston,droguerias,servicios,79,2026-03
358,10,Boston,cacharrerias,retail,79,2026-03
359,10,Boston,panaderias,alimentos,30,2026-03
360,10,Boston,ferreterias,retail,23,2026-03
361,10,Prado,cafeterias,alimentos,25,2026-03
362,10,Prado,restaurantes,alimentos,20,2026-03
363,10,Prado,tiendas,retail,116,2026-03
364,10,Prado,supermercados,retail,77,2026-03
365,10,Prado,charcuterias,alimentos,24,2026-03
366,10,Prado,licoreras,retail,76,2026-03
367,10,Prado,veterinarias,servicios,94,2026-03
368,10,Prado,peluquerias,servicios,106,2026-03
369,10,Prado,droguerias,servicios,46,2026-03
370,10,Prado,cacharrerias,retail,16,2026-03
371,10,Prado,panaderias,alimentos,59,2026-03
372,10,Prado,ferreterias,retail,16,2026-03
373,11,Laureles,cafeterias,alimentos,56,2026-03
374,11,Laureles,restaurantes,alimentos,77,2026-03
375,11,Laureles,tiendas,retail,42,2026-03
376,11,Laureles,supermercados,retail,107,2026-03
377,11,Laureles,charcuterias,alimentos,59,2026-03
378,11,Laureles,licoreras,retail,110,2026-03
379,11,Laureles,veterinarias,servicios,76,2026-03
380,11,Laureles,peluquerias,servicios,70,2026-03
381,11,Laureles,droguerias,servicios,75,2026-03
382,11,Laureles,cacharrerias,retail,97,2026-03
383,11,Laureles,panaderias,alimentos,45,2026-03
384,11,Laureles,ferreterias,retail,102,2026-03
385,11,Estadio,cafeterias,alimentos,89,2026-03
386,11,Estadio,restaurantes,alimentos,49,2026-03
387,11,Estadio,tiendas,retail,13,2026-03
388,11,Estadio,supermercados,retail,82,2026-03
389,11,Estadio,charcuterias,alimentos,55,2026-03
390,11,Estadio,licoreras,retail,79,2026-03
391,11,Estadio,veterinarias,servicios,96,2026-03
392,11,Estadio,peluquerias,servicios,43,2026-03
393,11,Estadio,droguerias,servicios,28,2026-03
394,11,Estadio,cacharrerias,retail,57,2026-03
395,11,Estadio,panaderias,alimentos,88,2026-03
396,11,Estadio,ferreterias,retail,20,2026-03
397,11,Conquistadores,cafeterias,alimentos,33,2026-03
398,11,Conquistadores,restaurantes,alimentos,39,2026-03
399,11,Conquistadores,tiendas,retail,42,2026-03
400,11,Conquistadores,supermercados,retail,65,2026-03
401,11,Conquistadores,charcuterias,alimentos,101,2026-03
402,11,Conquistadores,licoreras,retail,26,2026-03
403,11,Conquistadores,veterinarias,servicios,95,2026-03
404,11,Conquistadores,peluquerias,servicios,33,2026-03
405,11,Conquistadores,droguerias,servicios,28,2026-03
406,11,Conquistadores,cacharrerias,retail,64,2026-03
407,11,Conquistadores,panaderias,alimentos,34,2026-03
408,11,Conquistadores,ferreterias,retail,11,2026-03
409,12,La America,cafeterias,alimentos,82,2026-03
410,12,La America,restaurantes,alimentos,57,2026-03
411,12,La America,tiendas,retail,86,2026-03
412,12,La America,supermercados,retail,84,2026-03
413,12,La America,charcuterias,alimentos,54,2026-03
414,12,La America,licoreras,retail,16,2026-03
415,12,La America,veterinarias,servicios,77,2026-03
416,12,La America,peluquerias,servicios,100,2026-03
417,12,La America,droguerias,servicios,98,2026-03
418,12,La America,cacharrerias,retail,83,2026-03
419,12,La America,panaderias,alimentos,31,2026-03
420,12,La America,ferreterias,retail,80,2026-03
421,12,Ferrini,cafeterias,alimentos,42,2026-03
422,12,Ferrini,restaurantes,alimentos,120,2026-03
423,12,Ferrini,tiendas,retail,120,2026-03
424,12,Ferrini,supermercados,retail,73,2026-03
425,12,Ferrini,charcuterias,alimentos,98,2026-03
426,12,Ferrini,licoreras,retail,58,2026-03
427,12,Ferrini,veterinarias,servicios,83,2026-03
428,12,Ferrini,peluquerias,servicios,13,2026-03
429,12,Ferrini,droguerias,servicios,48,2026-03
430,12,Ferrini,cacharrerias,retail,36,2026-03
431,12,Ferrini,panaderias,alimentos,119,2026-03
432,12,Ferrini,ferreterias,retail,68,2026-03
433,12,Calasanz,cafeterias,alimentos,111,2026-03
434,12,Calasanz,restaurantes,alimentos,32,2026-03
435,12,Calasanz,tiendas,retail,105,2026-03
436,12,Calasanz,supermercados,retail,86,2026-03
437,12,Calasanz,charcuterias,alimentos,38,2026-03
438,12,Calasanz,licoreras,retail,67,2026-03
439,12,Calasanz,veterinarias,servicios,29,2026-03
440,12,Calasanz,peluquerias,servicios,102,2026-03
441,12,Calasanz,droguerias,servicios,5,2026-03
442,12,Calasanz,cacharrerias,retail,38,2026-03
443,12,Calasanz,panaderias,alimentos,111,2026-03
444,12,Calasanz,ferreterias,retail,88,2026-03
445,13,San Javier,cafeterias,alimentos,56,2026-03
446,13,San Javier,restaurantes,alimentos,35,2026-03
447,13,San Javier,tiendas,retail,87,2026-03
448,13,San Javier,supermercados,retail,34,2026-03
449,13,San Javier,charcuterias,alimentos,9,2026-03
450,13,San Javier,licoreras,retail,26,2026-03
451,13,San Javier,veterinarias,servicios,91,2026-03
452,13,San Javier,peluquerias,servicios,56,2026-03
453,13,San Javier,droguerias,servicios,55,2026-03
454,13,San Javier,cacharrerias,retail,10,2026-03
455,13,San Javier,panaderias,alimentos,5,2026-03
456,13,San Javier,ferreterias,retail,59,2026-03
457,13,El Salado,cafeterias,alimentos,115,2026-03
458,13,El Salado,restaurantes,alimentos,57,2026-03
459,13,El Salado,tiendas,retail,10,2026-03
460,13,El Salado,supermercados,retail,92,2026-03
461,13,El Salado,charcuterias,alimentos,45,2026-03
462,13,El Salado,licoreras,retail,15,2026-03
463,13,El Salado,veterinarias,servicios,24,2026-03
464,13,El Salado,peluquerias,servicios,85,2026-03
465,13,El Salado,droguerias,servicios,103,2026-03
466,13,El Salado,cacharrerias,retail,79,2026-03
467,13,El Salado,panaderias,alimentos,80,2026-03
468,13,El Salado,ferreterias,retail,52,2026-03
469,13,20 de Julio,cafeterias,alimentos,84,2026-03
470,13,20 de Julio,restaurantes,alimentos,34,2026-03
471,13,20 de Julio,tiendas,retail,58,2026-03
472,13,20 de Julio,supermercados,retail,29,2026-03
473,13,20 de Julio,charcuterias,alimentos,24,2026-03
474,13,20 de Julio,licoreras,retail,83,2026-03
475,13,20 de Julio,veterinarias,servicios,52,2026-03
476,13,20 de Julio,peluquerias,servicios,11,2026-03
477,13,20 de Julio,droguerias,servicios,118,2026-03
478,13,20 de Julio,cacharrerias,retail,120,2026-03
479,13,20 de Julio,panaderias,alimentos,112,2026-03
480,13,20 de Julio,ferreterias,retail,105,2026-03
481,14,El Poblado,cafeterias,alimentos,106,2026-03
482,14,El Poblado,restaurantes,alimentos,72,2026-03
483,14,El Poblado,tiendas,retail,16,2026-03
484,14,El Poblado,supermercados,retail,91,2026-03
485,14,El Poblado,charcuterias,alimentos,28,2026-03
486,14,El Poblado,licoreras,retail,45,2026-03
487,14,El Poblado,veterinarias,servicios,53,2026-03
488,14,El Poblado,peluquerias,servicios,79,2026-03
489,14,El Poblado,droguerias,servicios,66,2026-03
490,14,El Poblado,cacharrerias,retail,109,2026-03
491,14,El Poblado,panaderias,alimentos,104,2026-03
492,14,El Poblado,ferreterias,retail,10,2026-03
493,14,Provenza,cafeterias,alimentos,86,2026-03
494,14,Provenza,restaurantes,alimentos,47,2026-03
495,14,Provenza,tiendas,retail,24,2026-03
496,14,Provenza,supermercados,retail,107,2026-03
497,14,Provenza,charcuterias,alimentos,97,2026-03
498,14,Provenza,licoreras,retail,81,2026-03
499,14,Provenza,veterinarias,servicios,38,2026-03
500,14,Provenza,peluquerias,servicios,101,2026-03
501,14,Provenza,droguerias,servicios,62,2026-03
502,14,Provenza,cacharrerias,retail,61,2026-03
503,14,Provenza,panaderias,alimentos,69,2026-03
504,14,Provenza,ferreterias,retail,89,2026-03
505,14,Manila,cafeterias,alimentos,109,2026-03
506,14,Manila,restaurantes,alimentos,45,2026-03
507,14,Manila,tiendas,retail,38,2026-03
508,14,Manila,supermercados,retail,56,2026-03
509,14,Manila,charcuterias,alimentos,50,2026-03
510,14,Manila,licoreras,retail,92,2026-03
511,14,Manila,veterinarias,servicios,18,2026-03
512,14,Manila,peluquerias,servicios,63,2026-03
513,14,Manila,droguerias,servicios,114,2026-03
514,14,Manila,cacharrerias,retail,90,2026-03
515,14,Manila,panaderias,alimentos,20,2026-03
516,14,Manila,ferreterias,retail,105,2026-03
517,15,Guayabal,cafeterias,alimentos,57,2026-03
518,15,Guayabal,restaurantes,alimentos,101,2026-03
519,15,Guayabal,tiendas,retail,8,2026-03
520,15,Guayabal,supermercados,retail,100,2026-03
521,15,Guayabal,charcuterias,alimentos,102,2026-03
522,15,Guayabal,licoreras,retail,8,2026-03
523,15,Guayabal,veterinarias,servicios,107,2026-03
524,15,Guayabal,peluquerias,servicios,98,2026-03
525,15,Guayabal,droguerias,servicios,6,2026-03
